epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,222.064,1.16118,1.07852,1.01078,0.8023,0.79723,0.87184,0.59862,1.06742,0.61089,1.0516,0.00038191,0.00038191,0.00038191
43,226.104,1.23306,1.03357,1.06897,0.69113,0.87834,0.85837,0.58645,1.09252,0.60921,1.05764,0.000369054,0.000369054,0.000369054
44,229.978,1.23355,1.06174,1.04871,0.7429,0.87174,0.85187,0.57375,1.12501,0.58636,1.06285,0.000356198,0.000356198,0.000356198
45,233.866,1.1964,1.04245,1.04508,0.75849,0.85886,0.87856,0.60561,1.00518,0.54633,1.03163,0.000343342,0.000343342,0.000343342
46,238.143,1.20695,0.9892,1.0576,0.78083,0.87278,0.87511,0.61602,1.00987,0.57542,1.03166,0.000330486,0.000330486,0.000330486
47,242.724,1.19373,0.98881,1.05743,0.78332,0.8876,0.88293,0.61349,0.99354,0.536,1.04702,0.000317631,0.000317631,0.000317631
48,246.932,1.18569,1.04898,1.0263,0.76536,0.89164,0.87359,0.59745,1.00674,0.57796,1.02379,0.000304775,0.000304775,0.000304775
49,250.915,1.20685,1.05207,1.04862,0.79872,0.85107,0.88476,0.62345,0.93662,0.5869,1.01093,0.000291919,0.000291919,0.000291919
50,254.852,1.15284,0.9536,1.03028,0.85811,0.83292,0.89692,0.61779,1.04076,0.55338,1.03789,0.000279063,0.000279063,0.000279063
51,258.834,1.17982,0.89876,1.03849,0.83246,0.83684,0.90825,0.62717,1.01611,0.56975,1.03089,0.000266207,0.000266207,0.000266207
52,263.336,1.16254,0.98082,1.05191,0.80759,0.87458,0.912,0.64755,0.93594,0.56096,0.99983,0.000253351,0.000253351,0.000253351
53,267.686,1.13991,0.93696,1.06949,0.85897,0.85445,0.91739,0.64512,0.93726,0.56468,1.00258,0.000240495,0.000240495,0.000240495
54,271.778,1.15249,0.92063,1.03858,0.8412,0.88686,0.91946,0.64756,0.92806,0.51414,1.00291,0.00022764,0.00022764,0.00022764
55,275.881,1.11934,0.93951,1.02057,0.8576,0.86632,0.90986,0.64607,0.89859,0.506,0.99885,0.000214784,0.000214784,0.000214784
56,279.598,1.13498,0.90872,1.01327,0.8237,0.88642,0.90197,0.64033,0.89946,0.52387,0.98405,0.000201928,0.000201928,0.000201928
57,283.413,1.10146,0.88572,1.00521,0.83424,0.88472,0.90101,0.64632,0.89323,0.52319,0.97651,0.000189072,0.000189072,0.000189072
58,287.315,1.08489,0.92834,1.03163,0.82791,0.89233,0.89645,0.65162,0.88374,0.50185,0.9723,0.000176216,0.000176216,0.000176216
59,291.199,1.11389,0.91127,0.99949,0.81878,0.87297,0.89454,0.64866,0.89132,0.52759,0.98239,0.00016336,0.00016336,0.00016336
60,295.175,1.08628,0.84628,1.01309,0.85851,0.85299,0.89684,0.65726,0.87507,0.48957,0.97981,0.000150504,0.000150504,0.000150504
61,316.766,1.04174,0.95977,1.03927,0.82978,0.86851,0.89818,0.65193,0.93388,0.48047,0.99572,0.000137649,0.000137649,0.000137649
62,321.011,0.99106,0.91176,0.99857,0.79461,0.91171,0.89449,0.64991,0.90409,0.50201,0.97997,0.000124793,0.000124793,0.000124793
63,325.097,0.98836,0.90498,1.007,0.77143,0.8867,0.89221,0.64477,0.91762,0.55147,0.98271,0.000111937,0.000111937,0.000111937
64,329.302,0.95601,0.91543,0.98566,0.78175,0.87791,0.89468,0.64631,0.88591,0.52898,0.97681,9.9081e-05,9.9081e-05,9.9081e-05
65,333.654,1.00262,0.94296,0.96785,0.78843,0.90028,0.89562,0.65408,0.87482,0.52306,0.97426,8.62251e-05,8.62251e-05,8.62251e-05
66,337.762,0.95376,0.84725,0.98387,0.7746,0.90886,0.89578,0.65412,0.89683,0.4789,0.98105,7.33693e-05,7.33693e-05,7.33693e-05
67,342.07,0.94425,0.83232,0.97184,0.78249,0.88973,0.89252,0.65456,0.88856,0.4875,0.97437,6.05134e-05,6.05134e-05,6.05134e-05
68,346.408,0.9904,0.87448,1.00505,0.80542,0.87414,0.89423,0.65673,0.85495,0.51116,0.96825,4.76576e-05,4.76576e-05,4.76576e-05
69,350.11,0.98704,0.86955,0.96849,0.78345,0.91708,0.89441,0.65635,0.85745,0.50369,0.96862,3.48017e-05,3.48017e-05,3.48017e-05
70,353.763,0.99323,0.87098,0.98563,0.78999,0.91733,0.89287,0.65984,0.86316,0.50538,0.96953,2.19459e-05,2.19459e-05,2.19459e-05
